gene	n	rounds	dist_s	nj_s	trace_s	ties	fresh@8	fresh@16	fresh@32	fresh@64	fresh@128	static@8	static@16	static@32	static@64	static@128	cert@8	cert@16	cert@32	cert@64	cert@128	mean_rank_fresh	max_rank_fresh	mean_rank_static	max_rank_static
A2AB	238	236	0.03	0.13	0.10	2	0.9788	0.9915	1.0000	1.0000	1.0000	0.9364	0.9915	0.9958	1.0000	1.0000	0.2754	0.6017	0.7542	1.0000	1.0000	0.96	22	2.12	41
ADORA3	384	382	0.05	0.25	0.25	3	0.9686	0.9764	1.0000	1.0000	1.0000	0.9634	0.9843	0.9895	0.9921	0.9974	0.0262	0.0497	0.2435	1.0000	1.0000	0.79	28	1.97	128
ADRB2	163	161	0.02	0.09	0.06	2	0.9627	0.9876	1.0000	1.0000	1.0000	0.9565	0.9752	1.0000	1.0000	1.0000	0.1180	0.4783	0.8758	1.0000	1.0000	0.93	19	1.88	30
APOB	509	507	0.15	0.31	0.45	2	0.9112	0.9546	0.9822	0.9921	1.0000	0.8383	0.9014	0.9507	0.9882	1.0000	0.0138	0.0296	0.0809	0.2249	0.6331	3.06	90	5.59	95
APP	359	357	0.07	0.22	0.22	6	0.9664	0.9832	0.9972	1.0000	1.0000	0.9496	0.9804	0.9916	0.9944	1.0000	0.1289	0.1569	0.1653	0.2241	0.7871	1.00	47	2.31	106
ATP7	379	377	0.09	0.23	0.24	2	0.9735	0.9867	0.9973	1.0000	1.0000	0.9496	0.9708	0.9867	0.9894	1.0000	0.0159	0.0398	0.0875	0.8143	0.8355	1.44	32	3.16	116
BCHE	242	240	0.03	0.15	0.11	4	0.9667	0.9833	1.0000	1.0000	1.0000	0.9417	0.9792	0.9833	0.9917	0.9958	0.0333	0.0875	0.2792	0.4875	1.0000	0.95	22	2.77	128
BDNF	457	455	0.11	0.27	0.36	4	1.0000	1.0000	1.0000	1.0000	1.0000	0.9758	0.9868	0.9956	0.9978	1.0000	0.0835	0.1363	0.2088	0.3011	1.0000	0.22	7	1.23	111
BMI1	140	138	0.01	0.08	0.05	2	0.9928	1.0000	1.0000	1.0000	1.0000	0.9928	1.0000	1.0000	1.0000	1.0000	0.0725	0.1014	0.2464	0.6884	0.9130	0.31	9	0.61	8
BRCA1	913	911	0.42	0.67	1.81	5	0.6696	0.7695	0.9780	0.9934	0.9989	0.6213	0.7190	0.9177	0.9813	0.9945	0.0066	0.0198	0.0406	0.0714	0.1416	7.50	128	10.89	128
BRCA2	229	227	0.03	0.13	0.09	3	0.9031	0.9251	0.9692	1.0000	1.0000	0.7489	0.8634	0.9295	0.9868	1.0000	0.0441	0.0661	0.1366	0.4581	0.8767	3.10	46	7.19	107
CNR1	306	304	0.05	0.19	0.16	3	0.9704	0.9967	1.0000	1.0000	1.0000	0.9638	0.9868	0.9934	1.0000	1.0000	0.1546	0.2533	0.2961	0.4704	0.8882	0.71	27	1.58	49
COI	1608	1606	1.37	1.54	9.68	2	0.8400	0.8979	0.9303	0.9533	0.9664	0.6974	0.7771	0.8400	0.8861	0.9172	0.0068	0.0293	0.0579	0.0803	0.1270	8.53	128	18.41	128
CREM	283	281	0.03	0.13	0.15	3	0.9786	0.9893	1.0000	1.0000	1.0000	0.9644	0.9751	0.9858	0.9964	1.0000	0.0819	0.1459	0.3630	0.8612	1.0000	0.72	25	1.96	82
