A2AB	dist=0.09s tree=0.02s align=5.37s align total: 5.70s
ADORA3	dist=0.14s tree=0.07s align=0.53s align total: 0.80s
ADRB2	dist=0.05s tree=0.01s align=0.69s align total: 0.81s
APOB	dist=0.35s tree=0.17s align=5.17s align total: 5.76s
APP	dist=0.16s tree=0.06s align=1.44s align total: 1.72s
ATP7	dist=0.22s tree=0.07s align=1.25s align total: 1.60s
BCHE	dist=0.08s tree=0.02s align=0.89s align total: 1.05s
BDNF	dist=0.26s tree=0.12s align=0.71s align total: 1.14s
BMI1	dist=0.02s tree=0.00s align=0.40s align total: 0.48s
BRCA1	dist=1.13s tree=0.99s align=12.63s align total: 14.82s
BRCA2	dist=0.08s tree=0.02s align=7.95s align total: 8.10s
CNR1	dist=0.13s tree=0.04s align=1.16s align total: 1.38s
COI	dist=4.09s tree=5.41s align=1.91s align total: 11.47s
CREM	dist=0.07s tree=0.03s align=0.59s align total: 0.75s
CYTB	dist=35.83s tree=60.39s align=3.37s align total: 99.65s
DMP1	dist=0.21s tree=0.06s align=1.27s align total: 1.61s
EDG1	dist=0.09s tree=0.02s align=0.88s align total: 1.06s
ENAM	dist=0.04s tree=0.01s align=2.64s align total: 2.75s
FBN1	dist=0.08s tree=0.02s align=0.88s align total: 1.04s
GHR	dist=1.38s tree=1.04s align=4.21s align total: 6.71s
IRBP	dist=2.32s tree=2.56s align=3.66s align total: 8.61s
ND1	dist=2.00s tree=1.08s align=1.19s align total: 4.33s
ND2	dist=1.66s tree=1.08s align=1.24s align total: 4.03s
PLCB4	dist=0.19s tree=0.10s align=1.00s align total: 1.35s
PNOC	dist=0.12s tree=0.06s align=0.47s align total: 0.71s
RAG1A	dist=0.43s tree=0.22s align=4.02s align total: 4.73s
RAG1B	dist=0.96s tree=0.81s align=4.50s align total: 6.34s
RAG2	dist=0.81s tree=0.76s align=1.68s align total: 3.31s
TTN	dist=0.11s tree=0.03s align=5.30s align total: 5.49s
TYR1	dist=0.09s tree=0.03s align=1.69s align total: 1.87s
VWF	dist=0.80s tree=0.56s align=11.00s align total: 12.43s
