gene	n	width	gaps	macse_w	sps	sp_genomsa	sp_macse
A2AB	238	3564	68.8	3639	0.388	8514388	7603650
ADORA3	384	996	64.0	972	0.462	1910169	1916649
ADRB2	163	2094	60.6	2091	0.613	2317284	2286177
APOB	509	14072	91.7				
APP	359	3745	82.5	5358	0.165	2963491	3345172
ATP7	379	4556	85.1	4536	0.547	3247499	3147839
BCHE	242	1972	50.7	1959	0.661	4154692	4121303
BDNF	457	973	43.3	969	0.730	2205303	2153908
BMI1	140	723	57.0	600	0.433	503242	577923
BRCA1	913	7052	76.2				
BRCA2	229	6940	57.0				
CNR1	306	2161	54.9	2166	0.472	4236944	4239638
COI	1608	1883	45.8				
CREM	283	2006	79.9	2244	0.178	3005474	3317502
CYTB	3523	2764	61.4				
DMP1	352	3546	69.5	3609	0.405	12570957	11091278
EDG1	255	1160	19.7	1155	0.476	3397507	3429690
ENAM	153	4996	52.2	5559	0.523	16343430	14681913
FBN1	252	1905	64.7	2157	0.163	3406213	3604711
GHR	926	5846	85.6				
IRBP	1252	3998	71.9				
ND1	941	2291	58.7				
ND2	940	1730	41.4	1161	0.811	10624368	7534133
PLCB4	430	4385	92.4	4608	0.203	2761883	3144327
PNOC	365	828	63.8	849	0.397	2283935	2064309
RAG1A	553	6727	78.4				
RAG1B	855	6623	81.4				
RAG2	836	2471	68.1	2535	0.461	9279642	9309658
TTN	269	5176	52.6	4494	0.547	43064190	42871712
TYR1	289	3651	84.3	4596	0.657	6209731	6252349
VWF	755	16623	92.9	16615	0.977	14342417	14208151
